Accepted Symbol,Synonym Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Family,Duration,Native Status,Active Growth Period,Fire Resistance,Bloom Period
LIRIO,,Liriodendron,NA (L48),"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WV)",Magnoliaceae,,L48(N)CAN(N),,,
LITHO3,,Lithospermum,NA (L48),"CAN(AB, BC, MB, NB, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Boraginaceae,,"L48(I,N)CAN(I,N)",,,
LOBEL,,Lobelia,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Campanulaceae,,"L48(I,N)CAN(N)SPM(N)",,,
LOSPS3,,Lobelia Ã—speciosa var. speciosa,NA (L48),"USA(IL, IN, MO)",Campanulaceae,Perennial,L48(N),,,
LOPU,,Lobelia puberula,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Campanulaceae,Perennial,L48(N),,,
LOPUS,,Lobelia puberula var. simulans,NA (L48),"USA(AL, FL, GA, IL, IN, KY, LA, MD, MS, NC, OH, SC, TN, TX, VA, WV)",Campanulaceae,Perennial,L48(N),,,
LOSPL,,Lobelia spicata var. leptostachys,NA (L48),"USA(AL, AR, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, OH, OK, PA, SC, TN, VA, WV)",Campanulaceae,Perennial,L48(N),,,
LONIC,,Lonicera,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Caprifoliaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
LOFL,,Lonicera flava,NA (L48),"USA(AL, AR, GA, IL, KS, KY, MO, NC, OH, OK, SC, TN)",Caprifoliaceae,Perennial,L48(N),,,
LOTUS,,Lotus,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK, YT), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,,"L48(I,N)CAN(I,N)SPM(I)",,,
LUDWI,,Ludwigia,"NA (L48, PB)","CAN(BC, NB, NS, ON, QC), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, TN, TX, UM, VA, VT, WA, WI, WV)",Onagraceae,,"L48(I,N)CAN(N)",,,
LUDE4,,Ludwigia decurrens,"NA (L48), PR","USA+(PR), USA(AL, AR, DC, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV)",Onagraceae,"Annual, Perennial",L48(N)PR(N),Summer,No,Mid Summer
LUGL,,Ludwigia glandulosa,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Onagraceae,Perennial,L48(N),,,
LUGLG2,,Ludwigia glandulosa ssp. glandulosa,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Onagraceae,Perennial,L48(N),,,
LULE4,,Ludwigia leptocarpa,"NA (L48), PR","USA+(PR), USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV)",Onagraceae,"Annual, Perennial",L48(N)PR(N),,,
LUPE5,,Ludwigia peploides,"NA (L48), PR","USA+(PR), USA(AL, AR, AZ, CA, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, VA, WV)",Onagraceae,Perennial,"L48(I,N)PR(N)",,,
LUPEG2,,Ludwigia peploides ssp. glabrescens,"NA (L48), PR","USA+(PR), USA(AL, AR, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Onagraceae,Perennial,L48(N)PR(N),,,
LUSP,,Ludwigia sphaerocarpa,NA (L48),"USA(AL, CT, DE, FL, GA, IL, IN, LA, MA, MD, MI, NC, NJ, NY, PA, RI, SC, TN, TX, VA)",Onagraceae,Perennial,L48(N),,,
LUPIN,,Lupinus,NA (L48),"CAN(AB, BC, NB, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,,"L48(I,N)SPM(I)",,,
LUPEO2,,Lupinus perennis ssp. perennis var. occidentalis,NA (L48),"USA(CT, IA, IL, IN, MA, MD, MI, MN, NC, NH, NJ, NY, OH, PA, SC, VA, VT, WI, WV)",Fabaceae,Perennial,L48(N),,,
LUZUL,,Luzula,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Juncaceae,,"L48(I,N)CAN(I,N)GL(N)SPM(N)",,,
LUBU,,Luzula bulbosa,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Juncaceae,Perennial,L48(N),,,
LUEC,,Luzula echinata,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Juncaceae,Perennial,L48(N),,,
LUMUM2,,Luzula multiflora ssp. multiflora var. multiflora,NA (L48),"USA(CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)",Juncaceae,Perennial,L48(N),,,
LYCIU,,Lycium,NA (L48),"CAN(AB, BC, NS, ON, QC, SK), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Solanaceae,,"L48(I,N)CAN(I)",,,
LYCOP6,,Lycopodiella,"NA (L48, PB)","CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA+(PR, VI), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MS, MT, NC, NH, NJ, NY, OH, OK, OR, PA, PW, RI, SC, TN, TX, VA, VT, WA, WI, WV)",Lycopodiaceae,,L48(N)CAN(N)SPM(N),,,
LYCOP2,,Lycopodium,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR)",Lycopodiaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
LYCOP4,,Lycopus,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Lamiaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
LYRU,,Lycopus rubellus,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WV)",Lamiaceae,Perennial,L48(N),Summer and Fall,No,Mid Summer
LYSIM,,Lysimachia,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Primulaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
LYFR2,,Lysimachia fraseri,NA (L48),"USA(AL, GA, IL, KY, NC, SC, TN)",Primulaceae,Perennial,L48(N),,,
LYRA3,,Lysimachia radicans,NA (L48),"USA(AL, AR, FL, IL, KY, LA, MO, MS, OK, TN, TX, VA)",Primulaceae,Perennial,L48(N),,,
LYTHR,,Lythrum,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Lythraceae,,"L48(I,N)CAN(I,N)SPM(I)",,,
MACHA,,Machaeranthera,NA (L48),"CAN(AB, BC, MB, SK), USA(AR, AZ, CA, CO, IA, ID, IL, KS, ME, MN, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY)",Asteraceae,,L48(N)CAN(N),,,
MACLU,,Maclura,NA (L48),"CAN(ON), USA+(PR, VI), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV)",Moraceae,,L48(N)CAN(I),,,
MAGNO,,Magnolia,NA (L48),"CAN(ON), USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Magnoliaceae,,"L48(I,N)CAN(I,N)",,,
MAIAN,,Maianthemum,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Liliaceae,,L48(N)CAN(N)SPM(N),,,
MALAX,,Malaxis,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Orchidaceae,,L48(N)CAN(N)SPM(N),,,
MALUS,,Malus,NA (L48),"CAN(BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Rosaceae,,"L48(I,N)CAN(I,N)SPM(I)",Spring and Summer,No,Mid Spring
MAAN3,,Malus angustifolia,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OH, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
MAANA,,Malus angustifolia var. angustifolia,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MS, NC, NJ, OH, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
MAIO,,Malus ioensis,NA (L48),"USA(AR, IA, IL, IN, KS, KY, LA, MI, MN, MO, NE, NJ, OH, OK, SD, TX, WI)",Rosaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
MAIOI,,Malus ioensis var. ioensis,NA (L48),"USA(AR, IA, IL, IN, KS, KY, LA, MI, MN, MO, NE, NJ, OH, OK, SD, TX, WI)",Rosaceae,Perennial,L48(N),,,
MALVA2,,Malvastrum,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, FL, HI, IA, IL, KS, KY, LA, MA, MO, NAV, NJ, OK, PA, TN, TX, UM, VA)",Malvaceae,,"L48(I,N)",,,
MAHI,,Malvastrum hispidum,NA (L48),"USA(AL, AR, IA, IL, KS, KY, MO, OK, TN, VA)",Malvaceae,Annual,L48(N),,,
MANFR,,Manfreda,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV)",Agavaceae,,L48(N),,,
MAVI5,,Manfreda virginica,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV)",Agavaceae,Perennial,L48(N),,,
MARSI,,Marsilea,NA (L48),"CAN(AB, BC, ON, SK), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TX, UT, VA, WA, WY)",Marsileaceae,,"L48(I,N)CAN(N)",,,
MATEL,,Matelea,NA (L48),"USA+(PR, VI), USA(AL, AR, AZ, CA, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NM, OH, OK, PA, SC, TN, TX, VA, WV)",Asclepiadaceae,,L48(N),,,
MADE3,,Matelea decipiens,NA (L48),"USA(AR, GA, IL, IN, KS, KY, LA, MD, MO, NC, OK, SC, TN, TX, VA)",Asclepiadaceae,Perennial,L48(N),,,
MAGO,,Matelea gonocarpos,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Asclepiadaceae,Perennial,L48(N),,,
MAOB2,,Matelea obliqua,NA (L48),"USA(AL, DC, GA, IL, IN, KY, MD, MO, MS, NC, OH, PA, TN, VA, WV)",Asclepiadaceae,Perennial,L48(N),,,
MATRI,,Matricaria,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(I,N)CAN(I)GL(I)SPM(I)",,,
MATTE,,Matteuccia,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, CT, DC, IA, IL, IN, MA, MD, ME, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WI, WV)",Dryopteridaceae,,L48(N)CAN(N),,,
MECAR,,Mecardonia,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, DC, DE, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, NM, OK, PW, SC, TN, TX, VA)",Scrophulariaceae,,L48(N),,,
MEAC,,Mecardonia acuminata,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Scrophulariaceae,Perennial,L48(N),,,
MEACA,,Mecardonia acuminata var. acuminata,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Scrophulariaceae,Perennial,L48(N),,,
MEDEO,,Medeola,NA (L48),"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Liliaceae,,L48(N)CAN(N),,,
MEEHA,,Meehania,NA (L48),"USA(IL, KY, NC, OH, PA, TN, VA, WV)",Lamiaceae,,L48(N),,,
MECO,,Meehania cordata,NA (L48),"USA(IL, KY, NC, OH, PA, TN, VA, WV)",Lamiaceae,Perennial,L48(N),,,
MELAM2,,Melampyrum,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, DC, DE, GA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WA, WI, WV)",Scrophulariaceae,,L48(N)CAN(N)SPM(N),,,
MELAN2,,Melanthera,"NA (L48, PB)","USA+(PR, VI), USA(AL, FL, GA, HI, IL, KY, LA, MS, PW, SC, TN)",Asteraceae,,L48(N),,,
MENI3,,Melanthera nivea,"NA (L48), VI","USA+(VI), USA(AL, FL, GA, IL, KY, LA, MS, SC, TN)",Asteraceae,Perennial,L48(N)VI(N),,,
MELIC,,Melica,NA (L48),"CAN(AB, BC, ON, QC, SK), USA(AK, AL, AR, AZ, CA, CO, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Poaceae,,"L48(I,N)CAN(N,W)",,,
MEMU,,Melica mutica,NA (L48),"USA(AL, AR, DC, FL, GA, IA, IL, IN, KY, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA, WV)",Poaceae,Perennial,L48(N),,,
MENI,,Melica nitens,NA (L48),"USA(AL, AR, AZ, CO, GA, IA, IL, IN, KS, KY, MD, MN, MO, NC, NE, NM, OH, OK, PA, TN, TX, VA, WI, WV)",Poaceae,Perennial,L48(N),,,
MELOC,,Melochia,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, FL, GA, HI, IL, LA, MD, MO, MS, NC, NY, PW, SC, TX)",Sterculiaceae,,"L48(I,N)",,,
MELOT,,Melothria,NA (L48),"USA+(PR, VI), USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA)",Cucurbitaceae,,L48(N),,,
MEPE3,,Melothria pendula,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA)",Cucurbitaceae,Perennial,L48(N)PR(N)VI(N),,,
MEPEP,,Melothria pendula var. pendula,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA)",Cucurbitaceae,Perennial,L48(N)PR(N)VI(N),,,
MENIS,,Menispermum,NA (L48),"CAN(MB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV)",Menispermaceae,,L48(N)CAN(N),,,
MENTH,,Mentha,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Lamiaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
MENTZ,,Mentzelia,NA (L48),"CAN(AB, BC, MB, SK), USA+(PR), USA(AR, AZ, CA, CO, FL, IA, ID, IL, IN, KS, MA, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",Loasaceae,,L48(N)CAN(N),,,
MENU,,Mentzelia nuda,NA (L48),"USA(AZ, CO, IL, KS, MO, MT, NE, NM, OK, SD, TX, WY)",Loasaceae,"Perennial, Biennial",L48(N),,,
MENUN,,Mentzelia nuda var. nuda,NA (L48),"USA(CO, IL, KS, MO, NE, NM, OK, TX)",Loasaceae,"Biennial, Perennial",L48(N),,,
MEOL,,Mentzelia oligosperma,NA (L48),"USA(AR, AZ, CO, IL, KS, MA, MO, NE, NM, OK, SD, TX, WY)",Loasaceae,Perennial,L48(N),,,
MENYA,,Menyanthes,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Menyanthaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
MERTE,,Mertensia,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SC, SD, TN, UT, VA, WA, WI, WV, WY)",Boraginaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
MICRO22,,Microsteris,NA (L48),"CAN(AB, BC, YT), USA(AK, AZ, CA, CO, ID, IL, MT, NE, NM, NV, OR, SD, UT, WA, WY)",Polemoniaceae,,L48(N)CAN(N),,,
MIKAN,,Mikania,NA (L48),"CAN(ON), USA+(PR, VI), USA(AL, AR, AS, CT, DC, DE, FL, FM, GA, GU, IL, IN, KY, LA, MA, MD, ME, MH, MI, MO, MP, MS, NC, NH, NJ, NY, OH, OK, PA, PW, RI, SC, TN, TX, VA)",Asteraceae,,"L48(I,N)CAN(I)",,,
MILIU,,Milium,NA (L48),"CAN(LB, MB, NB, NF, NS, ON, QC, SK), USA(CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV)",Poaceae,,"L48(I,N)CAN(N)",,,
MIMOS,,Mimosa,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, CO, DC, FL, GA, HI, IA, IL, KS, KY, LA, MD, MI, MO, MS, NC, ND, NE, NM, OK, PA, PW, SC, SD, TN, TX, VA, WI)",Fabaceae,,"L48(I,N)",,,
MIMI22,,Mimosa microphylla,NA (L48),"USA(AL, FL, GA, IL, KS, KY, LA, MS, NC, SC, TN, TX, VA)",Fabaceae,Perennial,L48(N),,,
MINU6,,Mimosa nuttallii,NA (L48),"USA(AR, CO, DC, IA, IL, KS, LA, MI, MO, ND, NE, NM, OK, PA, SD, TX, WI)",Fabaceae,Perennial,L48(N),,,
MIMUL,,Mimulus,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Scrophulariaceae,,L48(N)CAN(N)SPM(I),,,
MINUA,,Minuartia,"GL (L48, GL)","CAN(AB, BC, LB, MB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Caryophyllaceae,,L48(N)CAN(N)GL(N),,,
MIGL5,,Minuartia glabra,NA (L48),"USA(AL, CT, GA, IL, KY, MD, ME, NC, NH, NY, PA, RI, SC, TN, VA, WV)",Caryophyllaceae,Perennial,L48(N),,,
MIPA6,,Minuartia patula,NA (L48),"USA(AL, AR, GA, IL, IN, KS, KY, LA, MN, MO, MS, OH, OK, PA, TN, TX, VA, WI)",Caryophyllaceae,Annual,L48(N),,,
MIRAB,,Mirabilis,"NA (L48, PB)","CAN(AB, BC, MB, ON, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Nyctaginaceae,,"L48(I,N)CAN(N)",,,
MIHI,,Mirabilis hirsuta,NA (L48),"USA(AR, AZ, CO, CT, IA, IL, IN, KS, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NM, NY, OH, OK, SD, TX, WI, WY)",Nyctaginaceae,Perennial,L48(N),,,
MITCH,,Mitchella,NA (L48),"CAN(NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Rubiaceae,,L48(N)CAN(N)SPM(N),,,
